id,gender,height_cm,weight_kg,sleep_hours,study_hours
217,female,157.3,63.9,7.0,0.9
218,female,149.4,61.0,8.6,1.7
219,male,168.5,63.9,7.4,2.6
220,male,172.6,73.9,7.9,1.2
221,female,159.7,62.6,7.2,2.7
222,female,156.1,59.9,7.8,2.7
223,male,167.9,65.9,7.2,2.5
224,female,151.4,64.9,8.2,2.7
225,male,169.6,78.2,7.7,1.0
226,female,157.7,72.1,7.2,2.0
227,male,183.8,80.3,7.7,0.7
228,female,163.7,65.3,6.4,3.1
229,male,173.4,68.8,6.9,3.5
230,female,155.9,65.4,4.3,0.3
231,female,159.0,73.8,6.6,2.0
232,female,160.8,76.1,6.0,3.0
233,male,166.4,69.1,5.9,1.1
234,female,156.2,63.2,8.3,1.0
235,male,158.0,68.3,8.0,1.3
236,female,145.7,59.9,5.9,4.8
237,male,184.9,75.9,5.9,2.9
238,male,175.0,74.4,6.3,1.3
239,female,150.3,63.6,6.2,1.7
240,female,161.5,75.7,7.3,3.6
241,female,162.2,71.3,7.9,1.3
242,female,150.3,64.7,5.9,2.7
243,female,157.0,56.2,8.2,2.2
244,female,150.9,62.1,7.9,1.1
245,female,154.0,55.0,6.9,0.8
246,female,163.2,69.7,7.0,0.7
247,female,162.1,70.8,6.2,1.8
248,male,172.8,78.2,6.3,0.8
249,male,,92.2,7.3,1.1
250,female,,67.2,7.8,2.3
251,female,155.7,60.2,5.6,1.7
252,female,166.1,72.0,6.1,1.5
253,male,175.5,63.5,8.0,2.6
254,male,175.8,82.1,5.7,2.7
255,male,176.9,73.0,9.0,3.3
256,male,171.5,82.6,5.7,1.8
257,male,166.9,69.3,6.3,1.8
258,male,169.7,66.8,6.9,0.2
259,male,165.3,68.4,7.1,0.9
260,female,167.4,63.6,5.8,1.0
261,female,160.2,63.3,7.5,2.5
262,male,167.4,77.8,6.5,1.5
263,male,175.7,71.0,5.6,3.7
264,female,154.2,71.4,8.9,2.1
265,male,176.3,71.8,5.2,1.3
266,male,170.3,72.7,8.2,2.1
267,male,172.3,73.2,7.6,1.5
268,female,162.0,75.2,6.1,1.7
269,female,156.5,76.5,5.7,2.9
270,male,174.9,72.9,7.4,0.9
271,female,155.5,64.1,5.0,0.7
272,male,169.7,71.2,7.8,1.5
273,male,181.7,69.3,7.1,0.6
274,female,160.4,67.1,6.2,1.9
275,male,174.7,71.2,7.7,1.7
276,female,150.1,62.3,6.1,1.7
277,male,180.0,70.3,7.1,2.9
278,female,163.1,68.5,4.8,2.9
279,male,171.9,73.6,7.4,2.0
280,male,161.4,73.6,7.2,1.8
281,male,171.7,71.5,6.9,1.0
282,male,162.5,69.2,6.6,3.6
283,male,174.9,72.2,5.8,1.3
284,female,159.2,65.9,6.8,3.0
285,female,164.2,71.4,4.3,1.5
286,male,177.1,85.8,6.3,1.0
287,male,171.1,73.3,5.9,0.3
288,female,154.6,62.6,5.6,2.4
289,female,165.8,70.8,8.0,1.2
290,male,177.1,72.6,6.3,1.8
291,male,166.6,72.7,5.9,1.9
292,male,155.3,62.9,7.1,1.6
293,male,178.6,67.1,7.1,1.3
294,female,158.6,62.0,5.1,1.7
295,female,157.9,72.3,7.1,1.2
296,male,178.2,74.6,6.0,1.0
297,male,173.9,65.1,7.2,2.5
298,female,156.9,69.7,7.0,0.8
299,female,158.4,65.4,4.8,1.2
300,female,158.9,69.8,7.1,1.1
301,female,150.5,60.1,6.1,1.9
302,male,168.9,73.0,6.9,2.2
303,male,,74.0,7.9,1.5
304,male,173.4,71.5,4.8,1.1
305,female,156.1,68.6,6.4,2.0
306,female,157.6,72.7,6.6,2.5
307,male,175.8,67.3,4.7,3.0
308,female,163.5,62.9,6.7,2.3
309,male,167.2,71.7,7.5,3.7
310,female,147.8,58.8,7.6,1.5
311,male,166.1,62.7,7.5,1.7
312,male,174.3,81.7,6.4,2.2
313,female,166.0,77.1,6.6,0.8
314,female,161.8,70.7,7.2,1.8
315,male,170.2,77.1,7.4,3.7
316,male,,69.5,7.5,2.6
317,female,154.7,72.2,7.4,1.7
318,female,153.1,61.6,6.2,1.1
319,female,163.5,66.5,6.0,1.0
320,female,161.9,61.8,6.9,1.1
321,female,161.0,78.7,6.1,2.6
322,male,167.8,66.8,5.3,2.2
323,female,163.2,63.0,8.2,2.6
324,female,164.8,76.8,6.6,2.2
325,female,159.7,67.6,5.7,2.8
326,female,156.6,64.6,6.0,2.3
327,female,158.7,66.8,7.2,3.8
328,female,156.5,58.1,5.8,1.1
329,male,167.1,76.3,6.7,0.0
330,male,166.0,72.1,6.5,0.6
331,female,157.7,72.5,6.7,1.6
332,female,168.3,,4.5,0.0
333,male,171.6,73.9,7.1,0.2
334,female,153.0,56.5,7.8,1.8
335,female,152.4,60.7,6.5,1.4
336,male,168.3,71.7,6.5,0.8
337,male,174.6,71.3,8.2,0.0
338,female,166.6,71.0,7.6,4.0
339,male,166.9,75.6,7.5,3.2
340,male,186.1,77.0,6.5,2.3
341,female,157.1,75.9,5.0,2.3
342,male,163.1,69.0,6.8,3.1
343,male,180.4,73.4,8.2,2.9
344,male,180.3,83.2,5.2,0.9
345,male,169.5,67.2,6.0,1.1
346,male,172.0,81.5,6.9,3.5
347,female,157.5,72.0,5.6,2.1
348,male,174.5,69.6,8.6,3.7
349,female,163.5,67.7,6.3,3.0
350,male,168.7,66.8,7.9,2.7
351,female,159.0,68.4,6.7,1.6
352,male,161.1,76.1,6.8,1.5
353,female,162.7,69.2,7.2,1.8
354,male,170.0,86.9,6.3,0.2
355,female,153.6,57.2,6.6,3.4
356,male,165.5,72.0,7.2,3.2
357,male,171.9,68.8,5.7,2.8
358,male,164.4,67.1,6.5,1.6
359,female,162.8,64.1,5.6,3.4
360,male,172.7,67.8,8.0,3.1
361,male,175.9,83.7,7.6,0.7
362,female,155.9,65.7,8.8,1.9
363,female,154.3,70.3,7.9,3.0
364,female,162.1,69.3,7.5,1.6
365,male,178.1,72.6,5.4,3.2
366,male,180.7,73.7,6.6,2.5
367,female,153.7,65.9,8.7,1.3
368,female,161.2,70.4,6.9,2.8
369,female,156.2,65.1,6.3,1.3
370,female,155.2,64.4,6.0,1.0
371,male,159.4,71.2,5.8,1.0
372,male,171.8,66.4,7.6,0.5
373,female,163.9,70.9,5.9,4.0
374,male,172.2,65.5,6.3,2.8
375,male,,73.6,6.0,1.1
376,male,173.5,82.5,7.6,0.9
377,female,150.9,65.4,8.6,2.3
378,male,169.4,71.8,5.5,1.3
379,male,175.3,68.2,6.9,2.8
380,male,171.7,75.7,6.3,2.4
381,male,168.6,74.2,6.8,3.3
382,male,174.8,78.4,5.6,1.7
383,male,173.3,66.6,5.6,1.1
384,male,170.3,71.3,6.3,3.0
385,male,178.2,76.1,6.3,2.0
386,female,164.7,67.9,4.9,2.3
387,female,161.4,57.9,7.1,1.7
388,male,183.1,76.2,5.5,2.5
389,female,160.0,63.3,5.4,2.8
390,male,171.5,75.8,6.4,0.1
391,female,159.3,68.0,6.0,2.0
392,male,172.0,76.6,6.2,1.8
393,male,174.6,79.1,6.3,1.4
394,male,184.1,79.6,7.8,2.8
395,female,,66.7,7.3,0.3
396,female,153.5,65.2,6.2,3.5
397,male,177.2,66.6,7.8,2.4
398,female,159.0,70.5,7.9,3.5
399,male,169.5,68.6,6.7,1.1
400,male,170.3,78.5,6.3,0.5
401,female,153.1,66.0,7.0,2.1
402,male,,71.7,6.6,2.1
403,female,163.5,68.6,7.2,0.0
404,female,162.3,64.5,5.8,3.3
405,female,154.4,64.1,6.2,3.4
406,female,155.8,59.0,7.0,3.2
407,male,169.6,78.7,5.8,3.7
408,male,168.7,65.3,7.4,2.1
409,male,178.7,83.4,5.6,1.0
410,female,160.8,70.8,6.1,3.0
411,female,157.5,66.5,8.0,1.7
412,female,160.9,68.5,6.3,0.0
413,male,170.4,77.0,7.9,1.6
414,female,157.1,68.0,6.7,1.3
415,male,160.6,66.6,6.8,2.7
416,male,165.4,72.7,6.9,1.3
417,male,173.2,69.4,7.3,2.5
418,female,154.8,68.7,8.2,2.6
419,male,171.5,74.1,6.5,3.1
420,female,144.5,60.8,5.6,3.1
421,female,164.0,67.0,6.7,1.8
422,male,160.4,68.3,6.5,2.7
423,male,163.2,71.1,6.1,2.1
424,female,149.4,59.2,6.9,1.6
425,male,167.4,81.5,6.6,3.1
426,female,158.0,68.0,6.8,1.0
427,male,165.4,74.0,8.4,2.1
428,female,160.1,61.4,7.1,2.2
429,male,168.0,65.0,6.7,0.6
430,female,164.3,64.5,7.6,1.6
431,female,160.5,62.2,6.2,2.2
432,male,185.5,75.1,8.5,3.9
433,male,174.4,67.8,4.5,2.2
434,female,157.3,67.0,6.8,1.8
435,female,159.5,57.4,7.2,2.1
436,male,170.0,75.7,7.1,1.5
437,male,,72.9,6.2,2.5
438,female,147.9,66.7,7.1,0.0
439,female,168.3,79.3,8.5,3.3
440,male,155.9,74.3,7.7,0.8
441,female,159.4,61.6,6.8,0.6
442,male,162.9,64.9,6.6,2.1
443,female,165.5,73.4,5.4,1.0
444,male,171.0,65.7,8.0,1.0
445,female,167.7,64.1,7.9,2.6
446,female,156.0,59.3,7.0,1.5
447,male,172.1,75.1,5.9,2.0
448,female,164.0,69.3,6.6,1.5
449,female,149.6,60.1,5.4,0.9
450,male,170.8,70.0,5.2,1.1
451,female,163.9,62.4,7.8,0.0
452,female,158.4,68.8,6.2,0.0
453,male,166.5,72.9,6.6,2.5
454,female,157.4,69.2,6.6,2.7
455,male,179.2,78.3,7.1,1.9
456,female,162.1,73.5,7.0,2.0
457,female,158.8,68.9,5.9,2.9
458,male,172.3,68.1,6.0,2.4
459,female,161.0,66.8,6.5,1.0
460,female,158.0,69.7,5.4,2.0
461,male,176.4,68.0,7.6,1.5
462,female,168.7,71.5,7.3,2.8
463,male,168.9,74.7,7.0,2.3
464,female,153.9,62.3,3.7,2.9
465,female,155.3,62.0,7.1,2.3
466,female,,61.9,6.3,0.0
467,female,150.4,65.4,6.7,3.9
468,female,161.8,68.1,7.8,3.3
469,female,156.5,67.6,7.2,0.7
470,male,165.8,63.7,7.7,1.7
471,male,173.0,76.1,7.5,1.7
472,male,173.4,76.5,5.6,1.0
473,female,155.3,60.5,5.3,3.4
474,male,168.3,76.9,6.7,2.2
475,female,155.5,58.3,6.7,0.2
476,male,169.1,76.5,5.2,4.2
477,male,174.4,74.1,6.9,3.9
478,female,167.5,71.1,8.1,2.4
479,male,179.1,77.9,5.6,1.6
480,female,157.4,72.0,6.4,1.7
481,female,149.2,65.3,6.1,2.3
482,male,162.3,67.1,5.3,2.8
483,female,152.6,58.6,6.7,3.4
484,female,146.2,65.3,7.1,1.9
485,male,158.5,53.7,6.7,3.6
486,male,160.9,65.7,6.3,1.1
487,female,158.5,60.1,7.0,2.3
488,female,159.9,74.3,6.6,1.8
489,female,161.3,70.6,6.3,3.4
490,female,160.9,72.5,6.1,1.9
491,female,148.5,67.8,7.1,3.2
492,female,157.7,65.6,6.6,2.9
493,male,164.8,67.5,7.8,3.0
494,female,172.7,75.5,6.1,1.2
495,male,165.6,68.0,6.6,3.5
496,female,162.9,71.4,4.5,3.4
497,male,172.3,74.4,6.7,2.8
498,male,179.5,66.0,5.2,1.1
499,male,175.5,69.2,7.3,1.0
500,male,165.0,69.5,5.7,2.9
501,female,154.2,73.3,8.0,3.1
502,female,164.6,69.4,8.3,2.1
503,male,159.7,69.7,7.8,1.9
504,male,156.0,62.3,5.9,1.0
505,female,155.5,67.0,9.2,2.7
506,male,166.6,74.1,7.6,1.1
507,male,169.0,78.3,8.7,1.9
508,female,157.8,69.1,6.3,2.1
509,male,161.8,72.6,6.4,1.0
510,male,179.7,70.3,5.5,2.9
511,female,156.2,70.7,6.1,1.9
512,female,156.8,72.2,5.9,1.9
513,female,162.2,73.6,5.6,2.0
514,male,170.1,68.7,7.4,0.9
515,female,150.8,59.7,6.9,2.2
516,male,169.9,76.2,6.2,2.7
517,male,176.9,70.4,5.0,1.6
518,male,,71.8,6.5,1.5
519,female,162.9,66.5,6.8,1.8
520,male,171.9,67.5,8.2,2.8
521,male,166.7,65.2,7.0,3.4
522,male,176.1,72.0,4.9,1.0
523,male,178.5,79.4,6.7,2.7
524,female,152.5,61.5,7.5,4.2
525,female,162.7,70.9,8.2,2.2
526,male,171.7,69.1,8.5,4.2
527,male,162.1,72.9,8.3,0.7
528,male,172.5,73.0,6.9,2.9
529,female,161.4,67.5,6.9,1.2
530,female,165.6,66.8,5.8,2.1
531,male,176.0,72.1,7.5,2.4
532,female,159.7,69.2,6.6,1.8
533,female,153.0,61.8,6.3,2.7
534,female,167.6,66.5,6.7,2.1
535,female,157.6,72.5,6.6,3.5
536,female,151.4,,5.7,3.3
537,female,158.2,65.1,6.0,2.5
538,female,160.7,73.4,7.9,3.0
539,male,167.4,73.3,6.8,0.8
540,female,152.5,66.4,7.9,0.9
541,female,156.9,58.6,6.6,1.6
542,female,157.6,69.2,7.8,2.8
543,female,161.2,70.6,6.7,2.3
544,male,180.4,76.7,5.3,1.0
545,female,154.8,70.1,5.3,3.5
546,female,153.4,63.6,8.9,1.6
547,male,175.7,73.9,7.1,1.9
548,female,,65.2,7.0,3.5
549,male,176.0,83.3,7.0,1.6
550,male,174.3,70.7,7.2,1.7
551,female,158.5,72.4,6.8,1.9
552,male,172.2,85.8,6.6,1.1
553,female,162.8,71.2,6.9,1.7
554,female,157.8,63.6,7.4,3.3
555,male,176.0,73.2,5.4,0.1
556,male,161.1,62.8,5.3,1.9
557,male,171.6,77.8,6.5,2.3
558,female,154.8,61.8,6.6,2.4
559,female,160.2,70.6,6.6,3.7
560,female,154.7,63.4,6.6,2.6
561,female,162.3,67.1,6.3,3.3
562,female,156.3,64.8,6.4,2.4
563,female,160.5,64.7,6.9,1.8
564,female,,59.4,5.2,2.3
565,male,173.6,79.2,7.7,1.6
566,male,165.4,68.2,6.2,2.2
567,female,156.0,65.0,6.7,2.6
568,male,171.4,68.8,7.9,0.7
569,male,168.4,74.0,5.1,2.5
570,female,165.1,70.5,7.2,3.8
571,female,152.7,63.1,5.2,0.0
572,female,157.1,64.7,6.8,1.9
573,female,159.4,57.8,6.4,2.5
574,male,167.4,77.6,7.4,3.1
575,male,164.8,75.1,7.2,0.6
576,female,154.2,65.5,5.9,1.0
577,male,171.2,79.7,5.7,2.0
578,male,175.5,82.0,6.2,1.9
579,female,157.3,67.6,7.6,1.7
580,male,166.5,70.1,7.2,2.1
581,male,171.5,66.6,6.2,1.9
582,male,171.1,71.0,7.6,2.3
583,female,165.3,69.7,7.2,1.3
584,female,160.6,66.3,5.2,2.6
585,female,164.8,78.9,7.7,1.9
586,male,169.6,76.1,7.4,2.6
587,female,159.9,64.6,4.1,2.2
588,male,170.9,67.2,7.1,0.9
589,male,168.4,69.8,5.8,2.5
590,male,164.8,68.5,6.2,2.6
591,male,170.4,65.1,6.7,1.0
592,male,164.8,72.5,6.6,0.3
593,female,147.1,55.7,6.6,3.4
594,male,184.4,73.3,6.0,3.1
595,female,153.8,64.3,6.4,2.4
596,female,161.7,67.2,6.9,1.7
597,male,176.6,65.8,5.5,0.0
598,male,166.6,71.3,6.9,2.9
599,female,157.6,80.5,6.7,1.5
600,female,160.5,66.9,6.9,4.2
601,female,164.5,64.3,6.4,3.3
602,male,166.3,66.2,7.6,2.5
603,female,166.2,75.1,8.2,2.7
604,female,161.3,69.6,4.4,2.2
605,male,168.3,77.6,7.8,2.0
606,male,179.8,81.3,6.6,2.6
607,male,179.0,74.1,7.8,2.2
608,male,162.6,63.2,6.6,1.8
609,female,162.8,76.6,8.1,2.3
610,male,165.3,69.2,6.1,0.0
611,male,174.1,76.8,7.7,2.4
612,male,162.1,70.1,8.1,0.8
613,male,172.2,69.7,4.6,3.2
614,female,162.2,74.1,7.4,2.4
615,female,156.2,67.7,7.6,2.2
616,female,153.9,62.8,4.0,2.5
617,female,162.3,69.2,6.5,2.0
618,female,154.4,64.8,6.1,0.6
619,male,180.9,66.7,6.6,0.9
620,male,174.3,79.8,6.8,3.4
621,male,170.7,70.5,7.6,2.9
622,male,181.9,79.8,7.9,1.0
623,female,168.3,64.4,7.9,1.9
624,female,153.8,65.1,7.8,0.7
625,male,158.4,71.7,6.5,1.2
626,female,156.7,55.7,7.0,1.0
627,male,164.1,72.4,7.2,3.5
628,male,173.3,76.2,6.2,0.6
629,male,184.2,70.2,6.0,1.9
630,female,166.0,67.0,7.3,2.6
631,female,158.7,66.3,6.9,1.1
632,female,150.6,59.5,7.9,2.9
633,male,163.0,62.5,8.5,1.7
634,female,161.6,63.5,5.1,1.4
635,female,149.0,61.7,6.4,0.2
636,male,177.5,76.0,7.6,3.5
637,male,178.3,74.4,6.2,0.0
638,female,151.6,57.8,7.4,2.1
639,female,156.2,55.6,6.0,3.1
640,female,144.2,56.8,5.6,1.0
641,male,181.0,65.3,6.4,1.8
642,female,159.9,78.9,8.5,1.5
643,male,171.4,75.1,7.1,1.8
644,female,160.5,69.9,7.8,1.3
645,male,168.8,63.2,4.5,0.8
646,male,165.7,70.7,7.3,1.2
647,male,169.2,67.4,6.0,2.6
648,female,153.2,63.8,8.2,2.0
649,female,159.5,63.9,6.2,0.5
650,male,177.2,77.0,6.0,2.0
651,male,175.2,67.5,6.3,2.0
652,male,155.4,62.8,7.4,2.4
653,female,162.8,69.0,7.5,1.4
654,female,161.3,62.7,5.9,2.7
655,male,166.7,74.1,7.0,0.9
656,female,157.8,63.3,6.2,1.8
657,male,171.2,74.0,6.7,2.4
658,male,172.6,72.2,5.5,2.8
659,female,154.3,69.5,8.0,2.9
660,male,170.8,65.0,7.8,2.2
661,male,167.0,66.6,6.7,2.6
662,male,172.0,69.5,6.9,1.0
663,female,150.5,60.2,6.0,1.4
664,male,165.2,69.7,8.5,0.8
665,female,156.5,66.7,7.9,1.6
666,male,165.0,73.6,6.3,1.9
667,male,175.0,69.4,7.1,0.8
668,female,154.4,76.2,5.8,1.1
669,female,156.1,60.2,5.0,2.4
670,female,156.2,60.5,6.1,0.9
671,male,166.4,61.1,7.8,2.1
672,male,162.7,76.0,7.6,1.4
673,male,176.2,70.9,7.5,0.0
674,female,157.9,65.9,6.4,1.7
675,male,178.4,81.9,4.9,3.7
676,male,177.2,72.7,6.6,2.3
677,female,158.8,66.7,6.4,0.2
678,female,162.0,68.2,6.3,3.1
679,female,153.8,74.2,6.8,2.0
680,male,178.5,72.0,6.2,2.0
681,female,159.6,70.2,6.2,3.4
682,female,156.6,68.4,6.6,2.9
683,male,169.1,72.1,5.3,1.0
684,female,150.1,76.6,6.8,1.8
685,female,160.8,66.3,7.0,0.5
686,male,171.1,70.1,4.5,1.1
687,male,175.7,71.3,7.3,1.5
688,male,174.7,68.6,7.6,2.1
689,male,168.9,64.1,7.0,3.2
690,male,177.5,78.7,7.8,2.4
691,male,,68.3,6.5,0.0
692,male,174.5,72.1,7.3,3.1
693,female,155.4,62.6,5.7,0.8
694,female,158.0,66.6,8.8,1.2
695,female,156.4,75.6,6.9,2.0
696,female,167.7,71.8,5.5,1.9
697,female,159.9,65.4,7.1,0.5
698,female,152.9,67.7,6.8,1.6
699,female,158.1,61.5,7.5,1.1
700,male,166.9,73.4,3.7,2.8
